id,d1,end_state1,hispanic,race,raceot,racethn,nativity,racethn2,end_racethn2,q1,q2,q3,q4,aca,q5,q6a,q6b,end_q6,q7,q8,end_q8,q9,q10,vacc1,q11,vaches,q12,vacc2,q13,q14a,q14b,q14c,q15,q16a,q16b,q17,q18a,q18b,q18c,q19a,q19b,q20,q21a,q21b,spvacinfo,q22,q23,q24,q27,q28a,q28b,q28c,q28d,q28e,q28f,q28g,q29,q30a,q30b,q30c,q30d,q30e,q30f,q30g,q30h,q30i,q30r1_01,q30r1_02,q30r1_03,q30r1_04,q30r1_05,q30r1_06,q30r1_07,q30r1_08,q30r1_09,q30r2_01,q30r2_02,q30r2_03,q30r2_04,q30r2_05,q30r2_06,q30r2_07,q30r2_08,q30r2_09,q31,end_q31,q33,q33a,q34,q34a,end_q34a,q35a,q35b,q35d,q35e,q35g,inclosstotal,end_inclosstotal,age,age2,recage,recage2,recage3,recage4,recage5,child,marital,employ,recemploy,essential,heal1a,delayedcare,coverage,agecov,covtype,covtypeot,agecovtype,rsex,gendervar,flu,test1,chroniccovid,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,cell,hhcell,landline,curlangx,hhadults,int,length,cstate,cregion,density,intvwdate,userid,sample,userdata,bssrs_match_code,sstate,sregion,sdivision,stz,exchangstat,stateexpmedi,gvnrexpmedi,wt1,weight,standwt,weight_ssrs,vacccombo,recage6,vaches_rec,essentialnonhc,healthworker,knowvacc,clsknowvacc,lang,Division,changesex,iphoneuse,hphoneuse,cdc2013,cdc2013USR,SAMPLE_TYPE,dialtype,qctr,xctr,state1,state,USR,USR_NEW
00014946,Male,1102,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",14,Some,Disapprove,About the right amount,Too much,Very unfavorable,Repeal the entire law,Oppose,Favor,232,Very often,No,67,Generally correct,Not too worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is a personal choice,"Yes, another family member or close friend",More likely,Have enough information,Have enough information,Do not have enough information, ,Yes,Yes,No,Somewhat easy,Very easy, ,No,Yes,Have not gotten the vaccine and do not have an appointment scheduled, ,Somewhat easy, ,Yes,No,Yes,Somewhat worried,Not too concerned,Not too concerned,Not applicable (Vol.),Not too concerned,Somewhat concerned,Very concerned,Not at all concerned,Would make no difference,Somewhat likely,Not at all likely,Not too likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,A hospital,Your own doctor's office,NOT A large vaccination site run by the government,A local pharmacy,NOT Your workplace,NOT A grocery store,A local church or religious center,A local school,A community health clinic,NOT A hospital,NOT Your own doctor's office,A large vaccination site run by the government,Your own doctor's office,719, , , , ,0,No,No,No,No,No,No,70,78, ,65+,65+,65+,75+,65+,No,Married,Retired,RETIRED, ,No,No,Covered by health insurance, ,Medicare, , ,Male,MALE,Yes,"Yes, someone else tested positive","Yes, respondent",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Moderate,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K,"Yes, have cell phone", , ,English,3,Yes,1551,Texas,South,Lowest,210215, ,landline,Main RDD Else,27001159,Texas,South,West South Central,C,Federal,No/Maybe,No/Maybe,.9775,19.977,.8718,1.6338,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,West South Central,sex = rsex,Dual,Dual HH,Non-core,Rural (CDC=4-6),LL RDD,Automatic,89,1,TEXAS,1,Rural,Rural
00014986,Female,948,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",24,Not too much,Approve,About the right amount,About the right amount,Somewhat favorable,Build on what the law does,Favor,Favor,161,Somewhat often,No,42,Generally correct,Somewhat worried,No, ,Get the vaccine as soon as you can,Both (Vol.),"Yes, another family member or close friend",No difference,Have enough information,Do not have enough information,Do not have enough information, ,Yes,No, ,Somewhat difficult, , ,Yes,No,Have not gotten the vaccine and do not have an appointment scheduled,Somewhat difficult, , ,Yes,Yes,Yes,Not too worried,Not at all concerned,Not too concerned,Not applicable (Vol.),Not at all concerned,Not at all concerned,Not too concerned,Not applicable (Vol.),Would make no difference,Very likely,Not applicable,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,A local pharmacy,NOT Your workplace,A grocery store,A local church or religious center,A local school,A community health clinic,A hospital,Your own doctor's office,A large vaccination site run by the government, , , , , , , , , ,Your own doctor's office,630, , , , ,0,No,No,No,No,No,No,91,68, ,65+,65+,65+,60-69,65+,No,Married,Retired,RETIRED, ,No,"Yes, me",Covered by health insurance, ,Medicare, , ,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, both respondent and someone else in household",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,1381,Wisconsin,North Central,Highest,210215, ,landline,Main RDD Else,27000253,Wisconsin,North Central,East North Central,C,Federal,No/Maybe,No/Maybe,.8919,10.055,.4388,.8223,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,East North Central,sex = rsex,Dual,Dual HH,Large central metro,Urban (CDC=1),LL RDD,Automatic,85,1,WISCONSIN,1,Suburban,Suburban
00015294,Female,957,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",16,A lot,Approve,About the right amount,Don't know,Don't know,Don't know,Don't know,Favor,216,Never,No,35,Generally correct,Not too worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",No difference,Have enough information,Have enough information,Have enough information, ,No,No, , , , ,No,No, , , , ,No,No,Yes,Not too worried,Somewhat concerned,Not at all concerned,Not applicable (Vol.),Not too concerned,Not at all concerned,Not at all concerned,Not applicable (Vol.),More likely,Very likely,Not applicable,Very likely,Very likely,Very likely,Not at all likely,Somewhat likely,Very likely,Not at all likely,A local pharmacy,NOT Your workplace,A grocery store,A local church or religious center,A local school,NOT A community health clinic,NOT A hospital,Your own doctor's office,NOT A large vaccination site run by the government,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,A hospital,NOT Your own doctor's office,NOT A large vaccination site run by the government,A hospital,628, , , , ,0,No,No,No,No,No,No,62,89, ,65+,65+,65+,75+,65+,No,Married,"Or, a homemaker or stay at home parent?",A HOMEMAKER OR STAY AT HOME PARENT, ,No,No,Covered by health insurance, ,Somewhere else,tricare, ,Female,FEMALE,Yes,No,"Yes, both respondent and someone else in household",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,Don't Know,DK/RF,"Yes, have cell phone", , ,English,2,Yes,1348,North Carolina,South,2,210219, ,landline,Main RDD Else,27009287,North Carolina,South,South Atlantic,E,Federal,No/Maybe,No/Maybe,.8919,10.233,.4466,.8369,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,South Atlantic,sex = rsex,Dual,Dual HH,Medium metro,"Suburban (CDC=2,3)",LL RDD,Automatic,81,6,NORTH CAROLINA,1,Suburban,Suburban
00015553,Female,589,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",21,A lot,Don't know,About the right amount,Not enough,Somewhat unfavorable,Build on what the law does,Favor,Favor,217,Somewhat often,No,33,Generally correct,Somewhat worried,"Yes, single dose",Completed process on their own, ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , ,Do not have enough information, , ,"Probably follow most social distancing guidelines, but not as strictly", , , ,Very easy,Very easy,Very easy,No,No, , , , , ,No,No,Not too worried, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,247, , , , ,0,No,No,No,Not asked,No,No,71,69, ,65+,65+,65+,60-69,65+,Yes,Widowed,"Or, a homemaker or stay at home parent?",A HOMEMAKER OR STAY AT HOME PARENT, ,No,No,Covered by health insurance, ,Plan through your spouse's employer, , ,Female,FEMALE,No,No,No one in household has serious health condition,Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K,"Yes, have cell phone", , ,English,4,Yes,1041,Massachusetts,Northeast,3,210215, ,landline,Main RDD Else,27006111,Massachusetts,Northeast,New England,E,State,Yes,Yes - Republican Governor,.9775,18.769,.8191,1.5349,Respondent has gotten vaccine,65+,Got vaccine/ASAP,No,No,Personally vaccinated,Personally vaccinated,English,New England,sex = rsex,Dual,Dual HH,Large fringe metro,"Suburban (CDC=2,3)",LL RDD,Automatic,60,1,MASSACHUSETTS,1,Suburban,Suburban
00015878,Male,964,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",18,Not at all,Disapprove,Not enough,Not enough,Very unfavorable,Scale back what the law does,Don't know,Don't know,213,Don't know,Yes,62,Generally underestimated,Very worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",No difference,Have enough information,Do not have enough information,Do not have enough information, ,No,No, , , , ,No,No, , , , ,No,No,Yes,Not too worried,Not too concerned,Not too concerned,Not at all concerned,Not too concerned,Not at all concerned,Very concerned,Not at all concerned,Would make no difference,Very likely,Not applicable,Not at all likely,Not too likely,Not at all likely,Very likely,Very likely,Very likely,Not too likely,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,A community health clinic,A hospital,Your own doctor's office,NOT A large vaccination site run by the government, , , , , , , , , ,Your own doctor's office,596, , , , ,0,No,No,No,No,No,No,75,65, ,65+,65+,65+,60-69,65+,No,Never been married,Retired,RETIRED, ,No,No,Covered by health insurance, ,Medicare, , ,Male,MALE,No,"Yes, someone else tested positive",No one in household has serious health condition,Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K,"No, do not",No, ,English,1,Yes,1327,Maine,Northeast,Lowest,210217, ,landline,Main RDD Else,27006405,Maine,Northeast,New England,E,Partnership,Yes,Yes - Democratic/Independent,1.6971,31.122,1.3581,2.5452,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,New England,sex = rsex,LLO,LLO HH,Non-core,Rural (CDC=4-6),LL RDD,Automatic,80,4,MAINE,1,Rural,Rural
00016035,Female,809,No,Black or African-American, ,"BLACK, NON-HISPANIC", ,"BLACK, NON-HISPANIC",16,A lot,Approve,About the right amount,Not enough,Very favorable,Build on what the law does,Favor,Favor,188,Very often,No,40,Generally underestimated,Somewhat worried,"Yes, single dose",Someone else helped find or schedule vaccine appointment, ,Both (Vol.), , ,Do not have enough information, , ,Strictly follow social distancing guidelines, , , ,Somewhat easy,Very difficult,Very easy,Yes,Yes,Gotten at least one dose of the vaccine,Somewhat easy,Somewhat easy, , ,No,Yes,Somewhat worried, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,445,Somewhat confident,Somewhat confident, , ,42,No,No,No,Not asked,No,Yes,78,71, ,65+,65+,65+,70-74,65+,No,Divorced,Unemployed and not seeking employment,UNEMPLOYED, ,No,No,Covered by health insurance, ,Medicare, , ,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, respondent",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K,"Yes, have cell phone", , ,English,1,Yes,1183,North Carolina,South,2,210215, ,landline,Main RDD Hi AA,26003457,North Carolina,South,South Atlantic,E,Federal,No/Maybe,No/Maybe,.4647,1.8984,.0828,.1553,Respondent has gotten vaccine,65+,Got vaccine/ASAP,No,No,Personally vaccinated,Personally vaccinated,English,South Atlantic,sex = rsex,Dual,Dual HH,Micropolitan,Rural (CDC=4-6),LL RDD,Automatic,66,0,NORTH CAROLINA,1,Suburban,Rural
00016299,Male,712,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",24,Not at all,Disapprove,Not enough,Not enough,Very unfavorable,Repeal the entire law,Oppose,Oppose,160,Not too often,No,36,Generally exaggerated,Not at all worried,No, ,Definitely not get the vaccine,Getting vaccinated is a personal choice,"Yes, another family member or close friend",No difference,Do not have enough information,Have enough information,Do not have enough information, ,No,No, , , , ,Yes,No,Gotten at least one dose of the vaccine,Somewhat difficult, , ,No,Yes,No,Not at all worried,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Would make no difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,421, , , , ,0,No,No,No,No,No,No,71,57, ,18-64,50-64,55-64,40-59,45-64,No,Married,Employed full-time,EMPLOYED,Yes,"Yes, someone else in household",No,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer, ,Spouse's employer,Male,MALE,No,"Yes, someone else tested positive",No one in household has serious health condition,Or what?,Other party (VOL.),UNDESIGNATED,UNDESIGNATED,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$100,000 or more",$90K+,"Yes, have cell phone", , ,English,Don't know/Refused,Yes,1128,California,West,3,210216, ,landline,Main RDD Else,27012607,California,West,Pacific,P,State,Yes,Yes - Democratic/Independent,.8919,15.271,.6664,1.2489,Do knot know someone who has gotten vaccine,40-64,Definitely not,Yes,No,Know someone vaccinated,Know close family or friend vaccinated,English,Pacific,sex = rsex,Dual,Dual HH,Medium metro,"Suburban (CDC=2,3)",LL RDD,Automatic,74,1,CALIFORNIA,1,Suburban,Suburban
00016485,Male,981,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",22,A lot,Approve,About the right amount,Not enough,Very favorable,Build on what the law does,Oppose,Favor,245,Somewhat often,Yes,42,Generally correct,Very worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone in household",No difference,Have enough information,Do not have enough information,Have enough information, ,No,No, , , , ,Yes,Yes,Have not gotten the vaccine and do not have an appointment scheduled,Very difficult,Very difficult, ,Yes,No,Yes,Somewhat worried,Not at all concerned,Somewhat concerned,Not at all concerned,Very concerned,Not at all concerned,Very concerned,Somewhat concerned,Would make no difference,Somewhat likely,Not at all likely,Not at all likely,Very likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,A local church or religious center,NOT A local school,NOT A community health clinic,A hospital,Your own doctor's office,NOT A large vaccination site run by the government,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,A local school,A community health clinic,NOT A hospital,NOT Your own doctor's office,A large vaccination site run by the government,A hospital,597, , , , ,0,No,Yes,Yes,Yes,Yes,Yes,75,60, ,18-64,50-64,55-64,60-69,45-64,No,Living with a partner,Employed full-time,EMPLOYED,Yes,"Yes, someone else in household","Yes, me",Not covered by health insurance,UNINSURED LESS THAN 65, , ,Uninsured <65,Male,MALE,Yes,"Yes, someone else tested positive","Yes, someone else in household",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$75,000 to less than $90,000",$40K-$89K,"Yes, have cell phone", , ,English,3,Yes,1361,Tennessee,South,Lowest,210216, ,landline,Main RDD Else,27000679,Tennessee,South,East South Central,C,Federal,No/Maybe,No/Maybe,.9775,9.6531,.4213,.7894,Only know someone who has gotten vaccine,40-64,Got vaccine/ASAP,Yes,No,Know someone vaccinated,Know close family or friend vaccinated,English,East South Central,sex = rsex,Dual,Dual HH,Non-core,Rural (CDC=4-6),LL RDD,Automatic,84,0,TENNESSEE,1,Rural,Rural
00016487,Female,624,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",22,Some,Disapprove,Not enough,Not enough,Very unfavorable,Scale back what the law does,Oppose,Oppose,198,Never,No,50,Generally correct,Somewhat worried,"Yes, both doses",Completed process on their own, ,Getting vaccinated is a personal choice, , ,Have enough information, , ,Strictly follow social distancing guidelines, , , ,Very easy,Very easy,Very easy,No,No, , , , , ,No,Yes,Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,280, , , , ,0,No,No,No,No,No,No,74,78, ,65+,65+,65+,75+,65+,No,Married,Retired,RETIRED, ,No,No,Covered by health insurance, ,Medicare, , ,Female,FEMALE,Yes,No,"Yes, both respondent and someone else in household",Independent,Republican,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,INDEPENDENT LEAN REP,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,990,Alaska,West,2,210218, ,landline,Main RDD Else,27000025,Alaska,West,Pacific,B,Federal,Yes,Yes - Republican Governor,.8919,9.9295,.4333,.812, ,65+,Got vaccine/ASAP,No,No,Personally vaccinated,Personally vaccinated,English,AK/HI,sex = rsex,Dual,Dual HH,Medium metro,"Suburban (CDC=2,3)",LL RDD,Automatic,61,0,ALASKA,1,Suburban,Urban
00016716,Female,894,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",17,Some,Approve,About the right amount,Not enough,Very favorable,Build on what the law does,Favor,Oppose,159,Somewhat often,No,41,Generally correct,Very worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",No difference,Have enough information,Have enough information,Have enough information, ,Yes,Yes,No,Very difficult,Not applicable, ,Yes,Yes,Gotten at least one dose of the vaccine,Somewhat easy,Very difficult, ,No,Yes,Yes,Somewhat worried,Not at all concerned,Somewhat concerned,Not at all concerned,Somewhat concerned,Very concerned,Not at all concerned,Not at all concerned,Would make no difference,Very likely,Not applicable,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,A local pharmacy,NOT Your workplace,A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,A hospital,Your own doctor's office,NOT A large vaccination site run by the government,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,A local church or religious center,A local school,A community health clinic,NOT A hospital,NOT Your own doctor's office,A large vaccination site run by the government,A local pharmacy,605, , , , ,0,No,No,No,Not asked,Yes,No,72,66, ,65+,65+,65+,60-69,65+,No,Never been married,On disability and can't work,ON DISABILITY AND CAN'T WORK, ,No,"Yes, me",Covered by health insurance, ,Plan you purchased yourself, , ,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, both respondent and someone else in household",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,Two year associate degree from a college or university,SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K,"Yes, have cell phone", , ,English,3,Yes,1263,Ohio,North Central,2,210215, ,landline,Main RDD Else,27005930,Ohio,North Central,East North Central,E,Federal,Yes,Yes - Republican Governor,.9775,12.051,.5259,.9855,Do knot know someone who has gotten vaccine,65+,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,East North Central,sex = rsex,Dual,Dual HH,Medium metro,"Suburban (CDC=2,3)",LL RDD,Automatic,89,0,OHIO,1,Suburban,Suburban
00016926,Female,949,Yes,Other or mixed race,other,HISPANIC,U.S.,HISPANIC - BORN IN US,41,Some,Don't know,About the right amount,About the right amount,Somewhat favorable,Build on what the law does,Favor,Favor,174,Somewhat often,No,34,Generally correct,Somewhat worried,No, ,Wait until it has been available for a while to see how it is working for other people,Getting vaccinated is a personal choice,"Yes, someone in household",No difference,Do not have enough information,Have enough information,Have enough information, ,No,No, , , , ,Yes,Yes,Gotten at least one dose of the vaccine,Very easy,Somewhat easy, ,Yes,No,Yes,Somewhat worried,Not at all concerned,Somewhat concerned,Somewhat concerned,Not at all concerned,Not at all concerned,Not at all concerned,Somewhat concerned,Would make no difference,Somewhat likely,Somewhat likely,Not too likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,NOT A local school,NOT A community health clinic,NOT A hospital,Your own doctor's office,NOT A large vaccination site run by the government,A local pharmacy,Your workplace,NOT A grocery store,A local church or religious center,A local school,A community health clinic,A hospital,NOT Your own doctor's office,A large vaccination site run by the government,Your own doctor's office,600, , ,Somewhat confident,Somewhat confident,33,No,No,No,No,No,No,67,29, ,18-64,18-29,25-34,18-39,18-29,Yes,Married,Employed full-time,EMPLOYED,No,No,No,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer, ,Spouse's employer,Female,FEMALE,Yes,"Yes, respondent tested positive",No one in household has serious health condition,Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$40,000 to less than $50,000",$40K-$89K,"Yes, have cell phone", , ,English,2,Yes,1273,New York,Northeast,Highest,210220, ,landline,Main RDD Hi AA,26001953,New York,Northeast,Mid Atlantic,E,State,Yes,Yes - Democratic/Independent,.3064,2.6383,.1151,.2158,Only know someone who has gotten vaccine,18-39,Wait and see,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Mid Atlantic,sex = rsex,Dual,Dual HH,Large central metro,Urban (CDC=1),LL RDD,Automatic,87,1,NEW YORK,1,Urban,Urban
00017011,Female,800,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",12,Some,Approve,About the right amount,Not enough,Somewhat favorable,Build on what the law does,Favor,Favor,149,Somewhat often,No,30,Generally correct,Somewhat worried,No, ,Get the vaccine as soon as you can,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",No difference,Have enough information,Have enough information,Do not have enough information, ,No,No, , , , ,Yes,No,Gotten at least one dose of the vaccine,Somewhat easy, , ,No,No,Yes,Somewhat worried,Not too concerned,Somewhat concerned,Not at all concerned,Not too concerned,Not too concerned,Not too concerned,Not at all concerned,Would make no difference,Very likely,Not applicable,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,A local school,NOT A community health clinic,NOT A hospital,Your own doctor's office,NOT A large vaccination site run by the government,NOT A local pharmacy,NOT Your workplace,A grocery store,A local church or religious center,NOT A local school,A community health clinic,A hospital,NOT Your own doctor's office,A large vaccination site run by the government,Your own doctor's office,546, , , , ,0,No,No,No,No,No,No,63,63, ,18-64,50-64,55-64,60-69,45-64,No,Never been married,Retired,RETIRED, ,No,No,Covered by health insurance,INSURED LESS THAN 65,Don't Know, ,Don't know/refused,Female,FEMALE,Yes,"Yes, someone else tested positive","Yes, respondent",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Moderate,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$50,000 to less than $75,000",$40K-$89K,"Yes, have cell phone", , ,English,1,Yes,1250,Pennsylvania,Northeast,Lowest,210216, ,landline,Main RDD Else,27005645,Pennsylvania,Northeast,Mid Atlantic,E,State,Yes,Yes - Democratic/Independent,.7064,14.983,.6539,1.2253,Do knot know someone who has gotten vaccine,40-64,Got vaccine/ASAP,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Mid Atlantic,sex = rsex,Dual,Dual HH,Micropolitan,Rural (CDC=4-6),LL RDD,Automatic,82,2,PENNSYLVANIA,1,Suburban,Rural
00017019,Male,1151,No,White, ,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC",19,Not too much,Disapprove,Don't know,Not enough,Don't know,Don't know,Oppose,Oppose,230,Don't know,No,52,Don't know,Not at all worried,No, ,Wait until it has been available for a while to see how it is working for other people,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, another family member or close friend",No difference,Do not have enough information,Have enough information,Have enough information, ,No,No, , , , ,No,No, , , , ,Yes,No,No,Not at all worried,Not at all concerned,Not at all concerned,Not at all concerned,Not too concerned,Not at all concerned,Not at all concerned,Not at all concerned,Would make no difference,Somewhat likely,Not at all likely,Not at all likely,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,NOT A local pharmacy,NOT Your workplace,NOT A grocery store,A local church or religious center,NOT A local school,NOT A community health clinic,NOT A hospital,Your own doctor's office,NOT A large vaccination site run by the government,A local pharmacy,NOT Your workplace,NOT A grocery store,NOT A local church or religious center,A local school,A community health clinic,A hospital,NOT Your own doctor's office,A large vaccination site run by the government,A local church or religious center,755, , , , ,0,No,No,No,No,No,No,95,59, ,18-64,50-64,55-64,40-59,45-64,No,Never been married,Unemployed and currently seeking employment,UNEMPLOYED, ,No,No,Covered by health insurance,INSURED LESS THAN 65,Somewhere else,vetrans,Somewhere else,Male,MALE,No,No,No one in household has serious health condition,Don't Know,Refused,UNDESIGNATED,UNDESIGNATED,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K,"No, do not",No, ,English,1,Yes,1552,Washington,West,Lowest,210216, ,landline,Main RDD Else,27012039,Washington,West,Pacific,P,State,Yes,Yes - Democratic/Independent,1.6971,23.376,1.0201,1.9117,Do knot know someone who has gotten vaccine,40-64,Wait and see,No,No,Know someone vaccinated,Know close family or friend vaccinated,English,Pacific,sex = rsex,LLO,LLO HH,Small metro,Rural (CDC=4-6),LL RDD,Automatic,82,7,WASHINGTON,1,Rural,Suburban
